player_id,w,l,era,starts,sv,ip,hits,bb,so,hr
2004,8,3,2.56,9,15,98,83,29,56,7
2005,7,7,4.33,0,1,73,72,41,73,7
2006,4,9,4.24,0,38,74,75,15,57,8
2008,4,6,4.08,0,8,71,75,33,46,10
2017,6,14,4.73,25,0,143,130,68,107,18
2021,12,13,4.33,32,0,208,221,24,95,39
2023,5,1,3.27,0,0,44,38,31,44,3
2026,14,12,3.56,32,0,202,195,65,152,21
2027,17,9,3.34,33,0,227,223,58,151,23
2028,2,5,3.26,0,3,47,54,19,43,5
2032,10,7,5.02,23,0,124,128,64,57,14
2039,13,6,5.32,24,0,159,176,60,108,18
2040,1,2,3.09,0,1,44,34,25,32,2
2046,3,5,3.8,13,0,135,141,65,92,12
2050,3,4,3.02,0,51,80,86,20,81,11
2052,3,9,5.15,21,0,117,126,63,113,19
2053,14,14,4.27,34,0,234,247,73,130,37
2054,4,8,3.23,0,1,61,46,28,57,7
2062,14,13,3.97,34,0,231,221,74,164,25
2063,5,6,3.82,0,22,68,48,39,87,10
2067,3,2,4.12,7,0,44,39,20,31,3
2069,12,9,3.72,27,0,172,183,42,100,20
2075,5,16,4.98,25,0,175,188,61,92,31
2079,5,2,4.36,1,0,76,75,45,67,10
2082,7,11,2.67,18,0,152,121,57,111,13
2084,2,2,3.04,0,1,53,49,24,38,4
2091,4,6,4.44,17,4,134,128,57,98,13
2093,2,1,3.23,0,1,31,27,7,11,0
2096,0,5,4.44,0,14,51,40,18,48,12
2098,5,2,2.73,0,0,63,47,18,55,2
2099,0,0,3.9,0,0,28,31,7,19,3
2104,18,7,2.38,35,0,257,225,49,257,8
2110,15,10,4.11,31,0,204,210,69,132,30
2115,5,2,2.68,8,0,57,45,18,39,6
2117,1,2,4.23,0,1,45,49,18,42,7
2121,11,16,4.84,33,0,201,222,63,98,30
2124,12,7,4.37,24,0,175,177,61,136,18
2125,4,2,4.38,0,1,62,75,31,46,4
2130,6,4,5.11,2,0,100,94,35,64,17
2135,2,2,3.92,0,0,41,39,12,33,7
2138,0,2,4.14,2,0,41,46,11,27,5
2140,3,3,2.51,0,6,65,51,27,71,2
2144,9,14,4.84,33,0,214,236,48,161,23
2148,20,6,2.65,33,0,235,169,88,271,11
2152,14,9,3.71,31,0,204,205,79,158,15
2153,20,7,3.55,31,0,208,186,59,209,20
2155,8,4,2.38,0,1,68,60,27,79,5
2159,13,14,3.31,33,0,220,204,69,157,22
2161,3,2,2.59,0,0,66,58,23,49,6
2163,6,1,3.59,0,0,85,86,35,60,3
2165,0,3,4.97,0,8,54,44,29,47,6
2170,8,12,2.88,23,0,163,146,51,132,12
2173,0,7,3.68,0,1,71,52,30,74,5
2178,3,1,3.03,1,2,74,78,24,27,4
2181,2,6,4.27,0,3,72,56,46,73,10
2187,3,4,3.53,0,19,71,61,25,49,8
2190,8,12,4,26,0,180,171,57,168,12
2199,4,4,3.91,0,0,76,76,37,40,10
2201,2,1,3.32,2,2,57,40,20,56,5
2202,4,8,4.8,23,0,133,157,61,86,14
2204,4,2,4.19,0,1,54,56,23,43,7
2206,16,13,4.01,36,0,251,284,69,186,23
2208,7,3,3.73,10,0,80,72,35,72,5
2210,7,12,5.06,25,0,149,150,80,136,14
2216,13,12,3.97,32,0,225,223,66,176,33
2218,2,8,4.3,0,5,59,62,25,43,5
2220,11,9,3.39,34,0,223,210,109,212,20
2224,8,9,4.8,16,0,133,141,59,97,16
2228,3,2,4.13,0,1,65,51,20,57,9
2230,1,4,3.95,0,0,57,56,20,64,4
2231,0,8,3.62,0,38,65,66,29,59,4
2233,3,4,4.14,0,0,96,95,36,49,11
2239,1,1,3.33,0,1,46,36,27,34,6
2243,13,6,4.33,33,0,212,203,65,151,29
2253,9,6,4.24,0,1,93,94,35,86,9
2259,8,6,3.76,23,0,134,135,51,83,13
2262,7,4,2.72,0,46,79,55,25,78,2
2266,2,1,3.32,0,8,81,76,28,44,6
2269,6,12,5.03,27,0,159,142,85,113,23
2272,6,9,5.12,21,0,130,142,48,66,17
2276,3,1,4.24,0,0,57,62,20,36,4
2278,3,1,4.52,0,0,66,66,28,53,10
2283,0,3,5.19,1,0,68,88,19,41,13
2284,2,1,3.5,0,0,54,56,24,45,3
2286,10,16,4.35,33,0,211,193,98,168,23
2291,13,13,4.27,34,0,217,220,106,147,15
2293,11,7,3.36,32,0,212,227,81,137,18
2296,14,7,3.14,32,0,209,176,64,157,24
2299,8,3,3.14,0,5,97,86,32,73,14
2302,7,14,5.25,33,0,190,227,61,105,27
2304,11,9,5.09,33,0,194,229,88,134,25
2305,20,7,4.41,33,0,216,209,78,164,27
2309,8,2,3.04,0,2,71,55,35,59,9
2310,12,11,5.17,29,0,178,208,69,94,28
2311,3,3,5.06,2,2,59,57,38,54,2
2312,3,3,2.74,6,0,43,43,3,27,4
2313,14,11,3.13,30,0,187,163,56,154,21
2316,10,12,4.72,33,0,234,265,104,162,37
2317,12,4,3.13,21,0,141,113,52,131,11
2318,2,6,4.04,0,26,71,55,41,55,5
2319,6,6,3.57,0,1,58,43,30,41,5
2320,11,10,4.41,34,0,202,200,85,126,22
2325,9,6,4.98,19,0,103,123,47,57,6
2327,9,7,3.93,27,1,176,169,48,158,29
2329,4,2,1.48,0,53,73,41,21,86,2
2333,0,3,3.33,0,2,51,53,14,31,4
2336,0,3,3.15,0,9,54,37,19,51,7
2339,5,6,3.09,0,0,64,50,47,68,8
2346,13,9,4.06,28,0,173,148,76,126,27
2348,1,1,1.55,0,40,64,43,13,55,4
2356,3,3,4.57,10,1,87,108,32,34,9
2361,10,1,1.28,11,0,84,57,26,116,4
2362,6,5,3.07,0,0,88,72,38,86,10
2364,9,9,4.05,30,0,195,192,53,115,23
2365,7,8,5.22,20,0,141,153,66,109,12
2371,1,4,4.97,0,28,63,58,36,57,7
2378,10,11,4.4,33,0,192,219,66,102,21
2385,6,3,4.2,11,0,79,77,23,53,5
2386,13,17,5.2,35,0,230,257,96,158,28
2387,2,0,3.53,0,2,51,50,20,28,5
2391,3,6,2.76,0,1,72,62,41,76,4
2408,17,6,2.47,28,0,193,151,71,174,8
2409,7,5,3.55,0,23,89,67,47,84,8
2410,6,4,4.4,0,2,76,75,40,55,9
2411,0,1,4.5,0,0,58,68,16,19,6
2415,8,14,4.11,28,1,171,182,40,138,23
2417,3,2,2.71,0,30,73,51,24,79,6
2418,16,8,3.7,33,0,233,229,32,169,34
2421,3,0,1.67,0,0,38,26,6,20,3
2422,6,5,4.52,14,0,92,96,30,53,13
2427,7,4,2.6,0,1,80,73,32,62,7
2432,3,9,4.02,10,4,123,126,42,77,5
2439,3,4,3.72,0,1,56,50,15,33,3
2442,4,7,4.88,0,2,52,56,26,39,2
2446,3,4,2.96,0,9,55,38,23,63,1
2452,4,6,4.45,5,2,91,109,19,62,8
2455,0,1,4.83,0,0,41,39,34,42,5
2457,19,7,2.89,33,0,234,188,67,251,26
2458,7,3,2.83,15,0,102,76,41,91,8
2463,7,4,4.58,0,1,73,71,29,53,6
2466,1,2,5.01,0,0,23,18,17,25,6
2469,5,3,5.09,14,0,76,96,19,45,11
2470,6,4,2.9,0,2,68,68,24,61,3
2476,5,4,4.1,0,2,68,81,35,55,9
2478,11,13,5.21,31,0,174,222,46,88,20
2480,7,2,3.11,0,0,84,68,33,77,6
2482,10,2,3.25,14,1,130,131,30,56,9
2484,11,11,5.07,29,0,162,199,53,72,11
2485,5,3,3.52,0,0,31,30,18,28,1
2486,10,5,3.22,0,2,73,64,27,70,6
2489,2,0,3.04,1,1,53,57,20,30,4
2490,3,4,3.74,0,2,77,55,50,57,8
2492,17,8,4.08,29,0,174,175,56,163,18
2494,8,7,4.57,30,0,181,188,63,117,23
2495,14,13,3.9,33,0,221,220,56,123,30
2496,3,3,5.16,0,0,61,70,26,42,6
2500,2,5,4.98,0,36,56,58,22,54,8
2501,2,5,5.02,11,0,61,78,17,35,5
2504,4,2,3.49,17,0,98,108,24,50,13
2506,7,5,2.53,17,0,114,101,42,79,8
2508,15,9,3.53,34,0,234,234,42,158,23
2510,6,5,2.89,6,3,112,100,39,72,7
2512,13,10,3.49,29,0,206,189,41,175,22
2514,2,2,2.7,0,1,50,44,22,40,5
2515,3,4,4.46,0,28,42,44,19,32,4
2516,15,10,5.22,33,0,210,250,66,120,34
2518,16,11,3.55,31,0,210,196,60,165,25
2519,5,3,3.79,0,3,40,44,22,35,1
2520,7,7,1.52,0,40,89,59,25,110,4
2525,3,3,3.77,0,3,60,49,23,44,4
2527,6,12,4.92,28,0,157,130,94,167,19
2536,2,7,4.25,13,0,125,128,59,75,14
2538,9,9,4.03,26,0,183,189,91,112,19
2541,3,4,3.01,0,30,69,56,25,55,4
2547,4,1,3.18,0,7,57,46,28,50,6
2549,4,4,4.99,13,0,88,90,46,75,11
2550,5,4,5.09,14,0,84,84,22,60,11
2552,7,1,3.06,0,6,65,50,32,72,8
2554,4,0,3.99,0,1,47,42,28,39,5
2555,0,1,5.13,0,0,33,42,7,26,5
2560,15,9,3.71,34,0,221,199,97,191,16
2561,7,5,5.1,21,0,113,135,49,77,14
2562,6,5,3.73,16,0,99,89,32,77,9
2564,2,5,4.45,0,2,61,64,19,33,11
2565,6,9,4.21,23,0,135,130,43,83,18
2567,2,7,3.64,0,42,67,45,37,87,5
2568,11,14,3.59,34,0,241,244,63,128,21
2572,0,2,3.81,0,0,52,40,25,42,3
2574,8,10,3.47,21,1,148,142,55,103,13
2575,7,4,4.77,10,0,106,131,36,55,9
2576,16,11,4.24,32,0,216,226,87,146,20
2580,7,8,5.13,18,1,112,126,43,55,11
2581,1,2,4.09,0,0,44,44,32,31,4
2583,4,3,3.78,0,4,50,41,16,55,4
2586,8,9,5.27,20,1,135,157,42,85,19
2587,10,5,4.44,26,0,166,186,32,104,26
2590,7,7,3.33,0,7,70,58,37,62,6
2594,3,4,5.1,11,0,72,86,31,51,8
2595,3,4,2.59,0,7,80,88,22,59,5
2596,6,6,2.63,0,13,62,63,20,45,5
2597,12,14,4.3,32,0,214,238,43,146,23
2608,2,1,1.48,0,1,55,30,19,50,4
2610,2,8,4.98,15,0,87,95,21,55,16
2612,8,15,4.82,28,0,164,164,87,144,23
2615,5,1,3.95,0,0,57,55,31,58,9
2616,1,1,3.52,0,0,38,35,14,23,2
2617,3,5,4.54,10,0,67,62,47,77,3
2619,19,8,3.51,35,0,233,257,53,209,25
2620,7,3,3.82,11,0,68,64,32,40,4
2621,4,4,3.51,0,4,77,65,34,83,8
2622,0,2,2.91,0,14,65,50,29,64,6
2624,3,4,5.27,0,0,55,52,34,42,7
2626,3,0,1.91,0,36,61,48,17,36,3
2629,1,3,2.13,0,2,38,22,22,42,4
2636,4,0,3.7,0,2,66,69,20,44,7
2637,16,8,3.17,34,0,239,215,67,138,19
2640,4,2,4.88,9,0,48,42,24,34,9
2641,8,11,4.69,25,1,175,180,57,135,25
2643,16,9,4.36,33,0,188,193,57,102,27
2644,1,4,3.58,0,1,50,47,28,39,7
2646,15,8,3.96,31,0,175,181,29,100,22
2651,7,9,4.47,29,0,173,178,91,137,18
2654,3,1,4.11,0,0,31,33,5,26,5
2655,5,6,4.39,19,0,146,151,62,61,18
2658,6,15,4.12,31,0,192,191,111,172,15
2659,0,1,3.08,0,0,26,24,13,9,4
2660,15,14,3.25,35,0,269,236,61,300,23
2661,11,14,4.07,33,0,214,228,71,158,24
2662,7,6,4.5,15,0,80,82,36,59,10
2663,4,1,2.75,0,2,36,25,16,50,2
2666,19,11,4.23,33,0,213,239,84,167,14
2669,6,4,3.48,0,4,83,70,34,95,7
2672,3,8,2.12,0,48,85,75,19,55,8
2676,5,4,3,0,2,51,44,25,58,6
2680,6,7,4.4,18,0,100,104,30,64,7
2681,4,3,3.57,0,18,71,54,22,56,12
2683,14,15,5.06,33,0,212,255,47,128,30
2685,3,1,3.69,0,0,32,32,8,14,5
2688,3,2,4.78,8,0,43,45,18,36,5
2689,17,3,2.9,26,0,168,145,44,173,10
2692,7,2,4.8,14,0,86,96,23,52,14
2697,9,4,4.34,20,0,129,130,58,90,14
2698,1,0,4.7,5,0,31,29,4,31,5
2702,4,4,3.53,0,1,82,63,20,76,9
2705,5,4,4.1,0,0,53,51,30,56,4
2713,1,2,4.74,0,0,38,42,17,31,6
2716,1,2,4.83,3,2,50,58,17,27,6
2719,9,9,3.51,23,0,161,146,51,147,20
2723,5,5,5.21,0,1,102,98,36,86,14
2732,5,6,3.59,0,2,90,92,31,63,13
2733,2,2,3.02,0,0,51,37,22,40,6
2734,19,9,4.85,34,0,219,244,62,136,30
2737,5,3,3.8,0,1,85,96,36,52,5
2738,4,9,3.58,0,33,73,71,22,58,7
2740,7,10,3.93,18,0,149,150,46,78,18
2741,3,6,3.86,0,1,91,85,36,59,9
2742,7,13,4.79,25,0,148,174,20,60,19
2745,11,15,4.05,34,0,222,227,79,149,20
2747,8,11,4.81,26,0,161,174,49,106,21
2748,4,5,4.7,13,0,67,60,26,32,7
2749,3,3,2.95,0,19,79,78,16,60,5
2750,13,12,4.44,34,0,211,198,64,162,22
2751,15,8,4.46,33,0,208,204,84,149,27
2753,6,5,3.63,1,1,97,90,41,89,16
2755,6,3,1.3,0,34,69,37,33,94,2
2756,11,10,3.98,27,0,174,171,66,122,17
2769,3,1,2.83,0,8,76,67,27,74,6
2775,4,3,2.7,0,30,60,46,25,97,6
2777,17,8,4.58,33,0,216,211,79,146,30
2781,5,4,2.43,1,1,70,50,32,56,6
2783,6,4,5.25,8,0,96,111,27,59,14
2784,6,3,4.62,11,0,74,70,27,48,11
2787,6,5,4.91,9,0,110,130,41,94,6
2792,18,4,3.49,30,0,214,195,29,163,29
2793,5,1,2.93,0,4,77,62,33,58,4
2794,1,5,5.26,6,1,63,76,28,46,10
2795,3,1,2.03,0,42,62,47,14,72,6
2796,2,1,4.9,0,2,61,61,33,45,3
2798,5,5,4.01,3,9,99,86,27,83,17
2799,2,6,3.8,3,0,69,66,23,39,8
2802,6,9,3.72,0,25,82,79,39,71,5
2807,4,2,1.94,1,0,51,39,16,59,1
2808,10,9,4.46,32,0,210,196,81,151,36
2816,13,6,3.4,26,0,167,117,85,233,14
2817,7,9,4.96,20,0,138,145,47,85,25
2818,10,12,4.18,26,0,166,170,33,135,19
2819,2,7,5.24,9,0,103,106,29,82,16
2821,12,10,4.72,32,0,193,207,87,140,22
2822,5,4,3.86,0,1,89,78,41,77,11
2823,6,8,3.93,29,0,172,166,53,117,22
2197,10,4,2.14,13,26,141,118,36,108,13
2252,19,8,2.9,34,0,235,209,75,147,17
2438,19,7,2.2,32,0,240,193,40,186,11
2368,1,2,3.45,0,1,31,34,6,28,2
2369,3,4,5.17,0,12,54,65,11,43,15
